REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2046,S1D2,78.469957
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2046,S1D1,35.954191
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2046,S2D2,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2046,S2D1,173.85706
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2047,S1D2,78.469957
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2047,S1D1,26.664845
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2047,S2D2,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2047,S2D1,182.99165
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2048,S1D2,78.469957
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2048,S1D1,25.280758
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2048,S2D2,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2048,S2D1,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2049,S1D2,90.057525
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2049,S1D1,90.057525
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2049,S2D2,211.57582
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2049,S2D1,151.54923
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2050,S1D2,232.79889
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2050,S1D1,178.44448
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2050,S2D2,546.92395
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2050,S2D1,445.20394
GLOBAL,PWRHYDINDWE01,HYDINDWE,1,2021,S1D2,38.557191
GLOBAL,PWRHYDINDWE01,HYDINDWE,1,2021,S1D1,38.557191
GLOBAL,PWRHYDINDWE01,HYDINDWE,1,2021,S2D2,77.795358
GLOBAL,PWRHYDINDWE01,HYDINDWE,1,2021,S2D1,77.795358
