TECH,COUNTRY,YEAR,VALUE
SPV,KEN,2042,12.584324122238538
SPV,KEN,2043,13.223789922020732
SPV,KEN,2044,13.863255721802927
SPV,KEN,2045,14.502721521585125
SPV,KEN,2046,15.30454814145386
SPV,KEN,2047,16.10728180501023
SPV,KEN,2048,16.909108424878973
SPV,KEN,2049,17.71093504474771
SPV,KEN,2050,18.51276166461645
SPV,TZA,2026,3.047746134449348
SPV,TZA,2027,3.288023277582183
SPV,TZA,2028,3.528685480239271
SPV,TZA,2029,3.769347682896357
SPV,TZA,2030,4.010009885553443
SPV,TZA,2031,6.451094739544809
SPV,TZA,2032,6.887752240045827
SPV,TZA,2033,7.324409740546844
SPV,TZA,2034,7.760489651761486
SPV,TZA,2035,8.197147152262502
SPV,TZA,2036,11.621096441905406
SPV,TZA,2037,12.311893228412307
SPV,TZA,2038,13.003460133967714
SPV,TZA,2039,13.69502703952312
SPV,TZA,2040,14.386593945078523
SPV,TZA,2041,15.203690255539868
SPV,TZA,2042,16.020786566001213
SPV,TZA,2043,16.83788287646255
SPV,TZA,2044,17.655749305972392
SPV,TZA,2045,18.472845616433727
SPV,TZA,2046,19.487092403311763
SPV,TZA,2047,20.5013391901898
SPV,TZA,2048,21.51558597706781
SPV,TZA,2049,22.52906264489734
SPV,TZA,2050,23.543309431775373
WON,KEN,2021,0.336
WON,KEN,2022,0.336
WON,KEN,2023,0.336
WON,KEN,2024,0.31
WON,KEN,2025,0.31
WON,KEN,2026,0.31
WON,KEN,2027,0.31
WON,KEN,2028,0.31
WON,KEN,2029,0.31
WON,KEN,2030,0.31
WON,KEN,2031,0.31
WON,KEN,2032,0.31
WON,KEN,2033,0.31
WON,KEN,2034,0.31
WON,KEN,2035,0.31
WON,KEN,2036,0.31
WON,KEN,2037,0.31
WON,KEN,2038,0.31
WON,KEN,2039,0.31
WON,KEN,2040,0.31
WON,KEN,2041,0.31
WON,KEN,2042,0.31
WON,KEN,2043,0.31
WON,KEN,2044,0.31
WON,KEN,2045,0.31
WON,KEN,2046,0.31
WON,KEN,2047,0.31
