REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S3D3,PWRWONKENXX01,1,2036,0.10209977099999999
GLOBAL,S3D3,RNWGEOKENXX,1,2036,2.720252842555871
GLOBAL,S3D3,RNWGEOTZAXX,1,2036,5.102086896260109
GLOBAL,S3D3,RNWHYDKENXX,1,2036,0.803677368146976
GLOBAL,S3D3,RNWHYDTZAXX,1,2036,0.39101761898496
GLOBAL,S3D3,RNWSPVKENXX,1,2036,2.4920840182971524
GLOBAL,S3D3,RNWSPVTZAXX,1,2036,3.5608954847549303
GLOBAL,S3D3,RNWWONKENXX,1,2036,0.10209977099999999
GLOBAL,S3D3,PWRSDSKENXX01,1,2036,0.001114
GLOBAL,S3D3,PWRGEOKENXX01,1,2037,2.920740349336206
GLOBAL,S3D3,PWRGEOTZAXX01,1,2037,5.428615375396945
GLOBAL,S3D3,PWRHYDKENXX01,1,2037,0.803677368146976
GLOBAL,S3D3,PWRHYDTZAXX01,1,2037,0.39101761898496
GLOBAL,S3D3,PWRSPVKENXX01,1,2037,2.630682511516818
GLOBAL,S3D3,PWRSPVTZAXX01,1,2037,3.7725670056180944
GLOBAL,S3D3,PWRTRNKENXX,1,2037,6.457200000000001
GLOBAL,S3D3,PWRTRNTZAXX,1,2037,9.5922
GLOBAL,S3D3,PWRWONKENXX01,1,2037,0.10209977099999999
GLOBAL,S3D3,RNWGEOKENXX,1,2037,2.920740349336206
GLOBAL,S3D3,RNWGEOTZAXX,1,2037,5.428615375396945
GLOBAL,S3D3,RNWHYDKENXX,1,2037,0.803677368146976
GLOBAL,S3D3,RNWHYDTZAXX,1,2037,0.39101761898496
GLOBAL,S3D3,RNWSPVKENXX,1,2037,2.630682511516818
GLOBAL,S3D3,RNWSPVTZAXX,1,2037,3.7725670056180944
GLOBAL,S3D3,RNWWONKENXX,1,2037,0.10209977099999999
GLOBAL,S3D3,PWRGEOKENXX01,1,2038,3.122697414329557
