REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2046,S1D1,169.34580291970804
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2046,S1D2,184.74087591240877
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2046,S2D3,150.2493321460374
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2046,S2D1,165.27426536064115
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2046,S2D2,180.29919857524487
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2046,S3D3,151.46319569120288
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2046,S3D1,181.75583482944344
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2046,S3D2,196.9021543985637
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2047,S1D3,162.02554744525546
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2047,S1D1,178.228102189781
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2047,S1D2,194.43065693430657
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2047,S2D3,158.1300089047195
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2047,S2D1,173.94300979519144
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2047,S2D2,189.7560106856634
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2047,S3D3,159.40754039497307
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2047,S3D1,191.28904847396768
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2047,S3D2,207.229802513465
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2048,S1D3,170.0912408759124
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2048,S1D1,187.10036496350364
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2048,S1D2,204.10948905109487
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2048,S2D3,166.00178094390026
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2048,S2D1,182.6019590382903
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2048,S2D2,199.20213713268032
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2048,S3D3,167.34290843806104
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2048,S3D1,200.8114901256733
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2048,S3D2,217.54578096947932
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2049,S1D3,178.15693430656933
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2049,S1D1,195.97262773722628
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2049,S1D2,213.7883211678832
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2049,S2D3,173.87355298308103
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2049,S2D1,191.26090828138916
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2049,S2D2,208.64826357969724
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2049,S3D3,175.27827648114902
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2049,S3D1,210.3339317773788
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2049,S3D2,227.8617594254937
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2050,S1D3,186.23175182481756
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2050,S1D1,204.85492700729927
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2050,S1D2,223.47810218978103
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2050,S2D3,181.75422974176317
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2050,S2D1,199.92965271593943
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2050,S2D2,218.10507569011577
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2050,S3D3,183.22262118491923
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2050,S3D1,219.86714542190307
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2050,S3D2,238.189407540395
GLOBAL,PWRTRNTZAXX,ELCTZAXX01,1,2021,S1D3,53.404197080291965
GLOBAL,PWRTRNTZAXX,ELCTZAXX01,1,2021,S1D1,48.5492700729927
GLOBAL,PWRTRNTZAXX,ELCTZAXX01,1,2021,S1D2,58.25912408759124
GLOBAL,PWRTRNTZAXX,ELCTZAXX01,1,2021,S2D3,47.3820124666073
GLOBAL,PWRTRNTZAXX,ELCTZAXX01,1,2021,S2D1,47.3820124666073
GLOBAL,PWRTRNTZAXX,ELCTZAXX01,1,2021,S2D2,56.858414959928766
GLOBAL,PWRTRNTZAXX,ELCTZAXX01,1,2021,S3D3,52.54129263913824
GLOBAL,PWRTRNTZAXX,ELCTZAXX01,1,2021,S3D1,52.54129263913824
GLOBAL,PWRTRNTZAXX,ELCTZAXX01,1,2021,S3D2,62.09425493716338
GLOBAL,PWRTRNTZAXX,ELCTZAXX01,1,2022,S1D3,58.342153284671525
GLOBAL,PWRTRNTZAXX,ELCTZAXX01,1,2022,S1D1,53.03832116788321
GLOBAL,PWRTRNTZAXX,ELCTZAXX01,1,2022,S1D2,63.645985401459846
GLOBAL,PWRTRNTZAXX,ELCTZAXX01,1,2022,S2D3,51.76313446126447
GLOBAL,PWRTRNTZAXX,ELCTZAXX01,1,2022,S2D1,51.76313446126447
GLOBAL,PWRTRNTZAXX,ELCTZAXX01,1,2022,S2D2,62.11576135351736
GLOBAL,PWRTRNTZAXX,ELCTZAXX01,1,2022,S3D3,57.39946140035907
GLOBAL,PWRTRNTZAXX,ELCTZAXX01,1,2022,S3D1,57.39946140035907
GLOBAL,PWRTRNTZAXX,ELCTZAXX01,1,2022,S3D2,67.83572710951526
